Seed,Model_type,Model,Domain,PCA,RMSE,MAE
4,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 16), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",TRUE,FALSE,11885.39747,6241.51207
4,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",TRUE,FALSE,19304.93379,9965.238241
4,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 4, 'verbose': 0}",FALSE,TRUE,5443.24653,2851.137857
4,XGB,"{'learning_rate': 0.01, 'loss': 'absolute_error', 'max_depth': 2, 'min_samples_split': 0.5, 'n_estimators': 10, 'random_state': 4, 'verbose': 0}",FALSE,TRUE,5736.70073,2901.882468
4,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",FALSE,TRUE,6979.505887,4869.258344
4,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",FALSE,TRUE,6499.211383,4451.93867
4,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 2, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 4, 'verbose': 0}",FALSE,FALSE,5406.096167,2827.112381
4,XGB,"{'learning_rate': 0.01, 'loss': 'absolute_error', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 25, 'random_state': 4, 'verbose': 0}",FALSE,FALSE,5633.197411,2798.197394
4,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'adam'}",FALSE,FALSE,7765.277517,5861.856376
4,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",FALSE,FALSE,12102.22568,10360.8143
5,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 5, 'verbose': 0}",TRUE,TRUE,6074.275338,3534.927917
5,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 3, 'n_estimators': 80, 'random_state': 5, 'verbose': 0}",TRUE,TRUE,6010.001307,3304.612616
5,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'adam'}",TRUE,TRUE,22133.39444,10721.25417
5,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",TRUE,TRUE,9723.553612,5601.693698
5,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 5, 'verbose': 0}",TRUE,FALSE,6251.682543,3409.216845
5,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 5, 'verbose': 0}",TRUE,FALSE,5727.278997,2652.239892
5,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",TRUE,FALSE,10547.0078,7019.537998
5,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",TRUE,FALSE,13345.40443,10732.41093
5,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 4, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 5, 'verbose': 0}",FALSE,TRUE,9528.439861,3969.603006
5,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 8, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 5, 'verbose': 0}",FALSE,TRUE,9788.589027,4563.526975
5,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",FALSE,TRUE,9315.959921,4056.780301
5,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",FALSE,TRUE,9368.664966,5208.887
